Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,PCT_SE_A03001B_002,PCT_SE_A03001B_003,PCT_SE_A03001B_004,PCT_SE_A03001B_005,PCT_SE_A03001B_006,PCT_SE_A03001B_007,PCT_SE_A03001B_008,PCT_SE_A03001B_009,PCT_SE_A03001B_010,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,PCT_SE_A10010_002,PCT_SE_A10010_003,PCT_SE_A10010_004,PCT_SE_A10010_005,PCT_SE_A10010_006,PCT_SE_A10010_007,PCT_SE_A10010_008,PCT_SE_A10010_009,PCT_SE_A10010_010,SE_B10040_001,SE_B10040_002,SE_B10040_003,PCT_SE_B10040_002,PCT_SE_B10040_003,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007,PCT_SE_A09004B_001,PCT_SE_A09004B_002,PCT_SE_A09004B_003,PCT_SE_A09004B_004,PCT_SE_A09004B_005,PCT_SE_A09004B_006,PCT_SE_A09004B_007
"06037101110","Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","140","00","0004200",,,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110","Census Tract 1011.10",,,,1937,1771,1551,220,60,15,0,14,2,75,91.43,80.07,11.36,3.1,0.77,0,0.72,0.1,3.87,644,438,0,0,58,0,52,96,372,207,68.01,0,0,9.01,0,8.07,14.91,57.76,32.14,1494,1105,0,0,92,0,88,209,401,951,73.96,0,0,6.16,0,5.89,13.99,26.84,63.65,850,385,232,45.29,27.29,1935,794,681,65,19,14,0,15,41.03,35.19,3.36,0.98,0.72,0,0.78
"06037101122","Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","140","00","0004201",,,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122","Census Tract 1011.22",,,,1977,1617,1472,145,18,0,0,0,77,265,81.79,74.46,7.33,0.91,0,0,0,3.89,13.4,344,287,0,0,0,0,33,24,287,33,83.43,0,0,0,0,9.59,6.98,83.43,9.59,1372,1064,10,0,136,0,57,105,89,1045,77.55,0.73,0,9.91,0,4.15,7.65,6.49,76.17,1028,336,110,32.68,10.7,1977,570,411,82,0,0,77,0,28.83,20.79,4.15,0,0,3.89,0
"06037101220","Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","140","00","0004202",,,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220","Census Tract 1012.20",,,,1727,1407,1299,108,100,0,0,32,93,95,81.47,75.22,6.25,5.79,0,0,1.85,5.39,5.5,762,450,8,16,48,0,110,130,394,285,59.06,1.05,2.1,6.3,0,14.44,17.06,51.71,37.4,1357,785,8,25,187,0,148,204,497,589,57.85,0.59,1.84,13.78,0,10.91,15.03,36.62,43.4,595,155,71,26.05,11.93,1727,827,547,80,86,32,65,17,47.89,31.67,4.63,4.98,1.85,3.76,0.98
"06037101221","Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","140","00","0004203",,,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101221","Census Tract 1012.21",,,,1658,1485,1295,190,61,0,0,0,112,0,89.57,78.11,11.46,3.68,0,0,0,6.76,0,1140,815,68,0,25,0,178,54,747,269,71.49,5.96,0,2.19,0,15.61,4.74,65.53,23.6,1450,1089,68,0,39,0,188,66,329,983,75.1,4.69,0,2.69,0,12.97,4.55,22.69,67.79,310,183,71,59.03,22.9,1640,1198,926,176,27,0,69,0,73.05,56.46,10.73,1.65,0,4.21,0
"06037101222","Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","140","00","0004204",,,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101222","Census Tract 1012.22",,,,1093,1006,832,174,33,0,0,45,0,9,92.04,76.12,15.92,3.02,0,0,4.12,0,0.82,816,715,17,0,28,17,28,11,515,239,87.62,2.08,0,3.43,2.08,3.43,1.35,63.11,29.29,935,820,17,0,35,17,28,18,246,620,87.7,1.82,0,3.74,1.82,2.99,1.93,26.31,66.31,119,76,7,63.87,5.88,1093,990,765,138,17,45,16,9,90.58,69.99,12.63,1.56,4.12,1.46,0.82
"06037101300","Census Tract 1013, Los Angeles County, California","ACSSF","ca","140","00","0004205",,,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300","Census Tract 1013",,,,1802,1482,1236,246,30,0,0,0,0,290,82.24,68.59,13.65,1.66,0,0,0,0,16.09,242,170,0,0,0,0,31,41,159,52,70.25,0,0,0,0,12.81,16.94,65.7,21.49,1420,1232,0,0,60,0,50,78,148,1166,86.76,0,0,4.23,0,3.52,5.49,10.42,82.11,1178,442,196,37.52,16.64,1802,373,181,68,8,0,0,116,20.7,10.04,3.77,0.44,0,0,6.44
"06037101400","Census Tract 1014, Los Angeles County, California","ACSSF","ca","140","00","0004206",,,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400","Census Tract 1014",,,,1546,1285,1185,100,35,11,0,0,17,198,83.12,76.65,6.47,2.26,0.71,0,0,1.1,12.81,387,353,0,0,34,0,0,0,285,68,91.21,0,0,8.79,0,0,0,73.64,17.57,1304,1013,8,0,93,0,30,160,199,930,77.68,0.61,0,7.13,0,2.3,12.27,15.26,71.32,917,394,191,42.97,20.83,1544,255,206,21,25,0,0,3,16.52,13.34,1.36,1.62,0,0,0.19
"06037102103","Census Tract 1021.03, Los Angeles County, California","ACSSF","ca","140","00","0004207",,,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103","Census Tract 1021.03",,,,767,632,562,70,12,0,0,19,10,94,82.4,73.27,9.13,1.56,0,0,2.48,1.3,12.26,250,221,0,0,29,0,0,0,221,0,88.4,0,0,11.6,0,0,0,88.4,0,669,560,8,0,51,0,0,50,52,531,83.71,1.2,0,7.62,0,0,7.47,7.77,79.37,419,245,117,58.47,27.92,767,295,227,11,0,19,10,28,38.46,29.6,1.43,0,2.48,1.3,3.65
"06037102104","Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","140","00","0004208",,,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104","Census Tract 1021.04",,,,1701,1107,1003,104,39,0,2,50,0,503,65.08,58.97,6.11,2.29,0,0.12,2.94,0,29.57,289,257,10,0,22,0,0,0,195,62,88.93,3.46,0,7.61,0,0,0,67.47,21.45,1310,1112,24,0,92,0,8,74,190,979,84.89,1.83,0,7.02,0,0.61,5.65,14.5,74.73,1021,528,212,51.71,20.76,1615,522,341,24,22,0,0,135,32.32,21.11,1.49,1.36,0,0,8.36
"06037102105","Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","140","00","0004209",,,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105","Census Tract 1021.05",,,,849,742,663,79,31,0,0,21,10,45,87.4,78.09,9.31,3.65,0,0,2.47,1.18,5.3,251,125,0,0,16,0,48,62,60,124,49.8,0,0,6.37,0,19.12,24.7,23.9,49.4,554,262,0,7,31,0,107,147,299,166,47.29,0,1.26,5.6,0,19.31,26.53,53.97,29.96,303,107,35,35.31,11.55,849,343,270,11,0,21,20,21,40.4,31.8,1.3,0,2.47,2.36,2.47
