"Qualifying Name","Name of Area","FIPS","Nation","State","County","County Subdivision","Census Tract","Block Group","Place","Congressional District (116th)","State Legislative District (Upper Chamber)","State Legislative District (Lower Chamber)","Metropolitan Statistical Area/Micropolitan Statistical Area","Combined Statistical Area","2020 Housing Units","2020 Occupied Units","2020 Vacant Units","2010 Housing Units","2010 Occupied Units","2010 Vacant Units","Housing Units Change","Occupied Units Change","Vacant Units Change","Housing Units Change Percent","Occupied Units Change Percent","Vacant Units Change Percent","Housing Units Change Percent Points","Occupied Units Change Percent Points","Vacant Units Change Percent Points","2020 Total Population","White 2020","African American or Black 2020","American Indian and Alaska Native 2020","Asian 2020","Native Hawaiian and Other Pacific Islander 2020","Other 2020","Two or More Races 2020","2010 Total Population","White 2010 ","African American or Black 2010 ","American Indian and Alaska Native 2010 ","Asian 2010 ","Native Hawaiian and Other Pacific Islander 2010 ","Other 2010 ","Two or More Races 2010 ","Population Change","White Change","African American or Black Change","American Indian and Alaska Native Change","Asian Change","Native Hawaiian and Other Pacific Islander Change","Other Change","Two or More Races Change","Population Change Percent","White Change Percent","African American or Black Change Percent","American Indian and Alaska Native Change Percent","Asian Change Percent","Native Hawaiian and Other Pacific Islander Change Percent","Other Change Percent","Two or More Races Change Percent","Total Population Change Percent Points","White Change Percent Points","African American or Black Change Percent Points","American Indian and Alaska Native Change Percent Points","Asian Change Percent Points","Native Hawaiian and Other Pacific Islander Change Percent Points","Other Change Percent Points","Two or More Races Change Percent Points"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T015_000,SE_T015_001,SE_T015_002,SE_T016_000,SE_T016_001,SE_T016_002,SE_T017_000,SE_T017_001,SE_T017_002,SE_T018_000,SE_T018_001,SE_T018_002,SE_T019_000,SE_T019_001,SE_T019_002,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008
"Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10","06037101110","00","06","037",,"101110",,,,,,,,1806,1753,53,1734,1641,93,72,112,-40,4.1522491349481,6.82510664229129,-43.010752688172,5.32907051820075E-15,2.42865956232015,-2.42865956232014,4926,3065,74,53,440,10,743,541,4731,3260,81,29,490,4,630,237,195,-195,-7,24,-50,6,113,304,4.12175015852885,-5.98159509202454,-8.64197530864197,82.7586206896552,-10.2040816326531,150,17.9365079365079,128.270042194093,-8.88178419700125E-16,-6.68633891936745,-0.209878555184904,0.462945441616456,-1.42502183874932,0.118455744897662,1.76680824200707,5.97302988478048
"Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22","06037101122","00","06","037",,"101122",,,,,,,,1377,1358,19,1369,1325,44,8,33,-25,0.58436815193572,2.49056603773585,-56.8181818181818,2.66453525910038E-15,1.83421365191371,-1.8342136519137,3728,2723,31,28,404,0,211,331,3664,2810,28,14,500,1,157,154,64,-87,3,14,-96,-1,54,177,1.74672489082969,-3.09608540925267,10.7142857142857,100,-19.2,-100,34.3949044585987,114.935064935065,-7.99360577730113E-15,-3.65029424442904,0.0673529246396912,0.368976891504395,-2.80937833836235,-0.027292576419214,1.3749367468186,4.67569859624792
"Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20","06037101220","00","06","037",,"101220",,,,,,,,1351,1308,43,1317,1246,71,34,62,-28,2.58162490508732,4.97592295345104,-39.4366197183099,4.88498130835069E-15,2.20821270781733,-2.20821270781732,3344,1901,42,40,358,1,625,377,3363,2254,45,30,277,3,565,189,-19,-353,-3,10,81,-2,60,188,-0.564971751412429,-15.6610470275067,-6.66666666666667,33.3333333333333,29.2418772563177,-66.6666666666667,10.6194690265487,99.4708994708995,-1.77635683940025E-15,-10.1754048063147,-0.0821101289433137,0.304111588678939,2.46904819830779,-0.0593017597923932,1.88971562187441,5.65394128618928
"Census Tract 1012.21, Los Angeles County, California","Census Tract 1012.21","06037101221","00","06","037",,"101221",,,,,,,,1363,1305,58,1375,1282,93,-12,23,-35,-0.872727272727273,1.79407176287052,-37.6344086021505,2.22044604925031E-15,2.5083172147002,-2.50831721470019,3444,2009,87,20,248,3,734,343,3434,2306,106,33,265,4,457,263,10,-297,-19,-13,-17,-1,277,80,0.29120559114735,-12.8794449262793,-17.9245283018868,-39.3939393939394,-6.41509433962264,-25,60.6126914660831,30.4182509505703,-4.44089209850063E-16,-8.81867598524558,-0.560646861980726,-0.38025835787104,-0.516019013256111,-0.0293742225216578,8.00433189455449,2.30064254632063
"Census Tract 1012.22, Los Angeles County, California","Census Tract 1012.22","06037101222","00","06","037",,"101222",,,,,,,,1042,1024,18,942,868,74,100,156,-56,10.6157112526539,17.9723502304147,-75.6756756756757,-4.44089209850063E-15,6.12817911007331,-6.12817911007331,2808,1551,94,62,148,0,650,303,2556,1694,112,7,194,0,401,148,252,-143,-18,55,-46,0,249,155,9.85915492957746,-8.44155844155844,-16.0714285714286,785.714285714286,-23.7113402061856,,62.0947630922693,104.72972972973,3.5527136788005E-15,-11.0403876248947,-1.03426828778941,1.93411179326672,-2.31932907989246,0,7.45957224830464,5.00030095100518
"Census Tract 1013, Los Angeles County, California","Census Tract 1013","06037101300","00","06","037",,"101300",,,,,,,,1612,1568,44,1581,1541,40,31,27,4,1.96078431372549,1.75210902011681,10,-6.24500451351651E-15,-0.199484260205329,0.199484260205323,4269,3347,28,9,353,2,155,375,4198,3553,47,7,322,3,99,167,71,-206,-19,2,31,-1,56,208,1.69128156264888,-5.79791725302561,-40.4255319148936,28.5714285714286,9.62732919254658,-33.3333333333333,56.5656565656566,124.550898203593,5.32907051820075E-15,-6.23310456596192,-0.46368944329925,0.0440761370488306,0.598596237251595,-0.0246132219929601,1.27256105066708,4.80617380628663
"Census Tract 1014, Los Angeles County, California","Census Tract 1014","06037101400","00","06","037",,"101400",,,,,,,,1551,1482,69,1568,1498,70,-17,-16,-1,-1.08418367346939,-1.06809078771696,-1.42857142857143,-4.16333634234434E-15,0.0155429676706231,-0.0155429676706273,3898,2712,44,32,324,3,334,449,3903,3016,49,19,350,1,272,196,-5,-304,-5,13,-26,2,62,253,-0.128106584678452,-10.079575596817,-10.2040816326531,68.4210526315789,-7.42857142857143,200,22.7941176470588,129.081632653061,0,-7.69975129312719,-0.126660538058172,0.334128790433271,-0.655506078851345,0.0513412279591274,1.59949845844857,6.49694943319574
"Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03","06037102103","00","06","037",,"102103",,,,,,,,800,781,19,680,630,50,120,151,-31,17.6470588235294,23.968253968254,-62,-8.88178419700125E-15,4.97794117647058,-4.97794117647059,2107,1485,48,4,148,7,200,215,1740,1337,23,3,171,2,132,72,367,148,25,1,-23,5,68,143,21.0919540229885,11.0695587135378,108.695652173913,33.3333333333333,-13.4502923976608,250,51.5151515151515,198.611111111111,-4.44089209850063E-15,-6.35972592725944,0.95628147008603,0.0174295861087017,-2.803381176047,0.21728338488563,1.90596206405577,6.0661505981703
"Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04","06037102104","00","06","037",,"102104",,,,,,,,1353,1333,20,1326,1279,47,27,54,-27,2.03619909502262,4.22204847537138,-57.4468085106383,-4.44089209850063E-16,2.06629812081749,-2.06629812081749,3906,2857,84,15,401,1,171,377,3648,2794,90,8,475,3,124,154,258,63,-6,7,-74,-2,47,223,7.07236842105263,2.25483178239084,-6.66666666666667,87.5,-15.5789473684211,-66.6666666666667,37.9032258064516,144.805194805195,-7.99360577730113E-15,-3.44603107230442,-0.316567628749292,0.16472633195893,-2.75457629288275,-0.0566352036003988,0.978757377314253,5.43032648826367
