Tract,heat_days,FIPS,GEOID,heat_bin,heat_label
5990,2.4166667,6037599000,06037599000,1,less tha 25
2742.02,3.2750001,6037274202,06037274202,1,less tha 25
2734.02,3.2750001,6037273402,06037273402,1,less tha 25
2738,3.2750001,6037273800,06037273800,1,less tha 25
2741,3.2750001,6037274100,06037274100,1,less tha 25
2735.02,3.2750001,6037273502,06037273502,1,less tha 25
2736,3.2750001,6037273600,06037273600,1,less tha 25
2739.02,3.2750001,6037273902,06037273902,1,less tha 25
7016.02,4.6083331,6037701602,06037701602,1,less tha 25
2675.02,4.6083331,6037267502,06037267502,1,less tha 25
2674.02,4.6083331,6037267402,06037267402,1,less tha 25
7015.02,4.6083331,6037701502,06037701502,1,less tha 25
2674.03,4.6083331,6037267403,06037267403,1,less tha 25
2714,4.6083331,6037271400,06037271400,1,less tha 25
7022.02,4.6083331,6037702202,06037702202,1,less tha 25
2641.03,4.6083331,6037264103,06037264103,1,less tha 25
2674.04,4.6083331,6037267404,06037267404,1,less tha 25
2675.01,4.6083331,6037267501,06037267501,1,less tha 25
2677,4.6083331,6037267700,06037267700,1,less tha 25
7016.01,4.6083331,6037701601,06037701601,1,less tha 25
2673,4.6083331,6037267300,06037267300,1,less tha 25
7015.01,4.6083331,6037701501,06037701501,1,less tha 25
7017.02,4.6083331,6037701702,06037701702,1,less tha 25
2643.01,4.6083331,6037264301,06037264301,1,less tha 25
2643.02,4.6083331,6037264302,06037264302,1,less tha 25
7022.01,4.6083331,6037702201,06037702201,1,less tha 25
7018.01,4.6083331,6037701801,06037701801,1,less tha 25
7023,4.6083331,6037702300,06037702300,1,less tha 25
2676,4.6083331,6037267600,06037267600,1,less tha 25
7018.02,4.6083331,6037701802,06037701802,1,less tha 25
2655.10,4.6083331,6037265510,06037265510,1,less tha 25
7017.01,4.6083331,6037701701,06037701701,1,less tha 25
7012.02,4.6083331,6037701202,06037701202,1,less tha 25
2733,4.7666669,6037273300,06037273300,1,less tha 25
2737,4.7666669,6037273700,06037273700,1,less tha 25
7020.02,4.7666669,6037702002,06037702002,1,less tha 25
2732,4.7666669,6037273200,06037273200,1,less tha 25
2731,4.7666669,6037273100,06037273100,1,less tha 25
7021.02,4.7666669,6037702102,06037702102,1,less tha 25
2627.06,6.0666666,6037262706,06037262706,1,less tha 25
2625.01,6.0666666,6037262501,06037262501,1,less tha 25
2627.04,6.0666666,6037262704,06037262704,1,less tha 25
7014.02,6.3000002,6037701402,06037701402,1,less tha 25
7012.01,6.3000002,6037701201,06037701201,1,less tha 25
2628.02,6.3000002,6037262802,06037262802,1,less tha 25
7013.02,6.3000002,6037701302,06037701302,1,less tha 25
7013.04,6.3000002,6037701304,06037701304,1,less tha 25
7019.02,6.3000002,6037701902,06037701902,1,less tha 25
6201.01,7.2166667,6037620101,06037620101,1,less tha 25
6200.01,7.2166667,6037620001,06037620001,1,less tha 25
6209.04,7.2166667,6037620904,06037620904,1,less tha 25
6204,7.2166667,6037620400,06037620400,1,less tha 25
6203.01,7.2166667,6037620301,06037620301,1,less tha 25
6203.05,7.2166667,6037620305,06037620305,1,less tha 25
6209.01,7.2166667,6037620901,06037620901,1,less tha 25
6203.03,7.2166667,6037620303,06037620303,1,less tha 25
6200.02,7.2166667,6037620002,06037620002,1,less tha 25
6201.02,7.2166667,6037620102,06037620102,1,less tha 25
6202.01,7.2166667,6037620201,06037620201,1,less tha 25
6036,8.083333,6037603600,06037603600,1,less tha 25
6025.09,8.083333,6037602509,06037602509,1,less tha 25
6021.06,8.083333,6037602106,06037602106,1,less tha 25
6025.05,8.083333,6037602505,06037602505,1,less tha 25
6024.03,8.083333,6037602403,06037602403,1,less tha 25
6021.03,8.083333,6037602103,06037602103,1,less tha 25
6005.02,8.083333,6037600502,06037600502,1,less tha 25
6035,8.083333,6037603500,06037603500,1,less tha 25
6025.04,8.083333,6037602504,06037602504,1,less tha 25
6040.01,8.083333,6037604001,06037604001,1,less tha 25
6037.03,8.083333,6037603703,06037603703,1,less tha 25
6038.01,8.083333,6037603801,06037603801,1,less tha 25
6037.02,8.083333,6037603702,06037603702,1,less tha 25
6025.08,8.083333,6037602508,06037602508,1,less tha 25
6020.02,8.083333,6037602002,06037602002,1,less tha 25
6021.04,8.083333,6037602104,06037602104,1,less tha 25
6021.05,8.083333,6037602105,06037602105,1,less tha 25
6025.06,8.083333,6037602506,06037602506,1,less tha 25
6039,8.083333,6037603900,06037603900,1,less tha 25
6023.01,8.083333,6037602301,06037602301,1,less tha 25
6024.04,8.083333,6037602404,06037602404,1,less tha 25
6025.07,8.083333,6037602507,06037602507,1,less tha 25
6037.04,8.083333,6037603704,06037603704,1,less tha 25
6024.02,8.083333,6037602402,06037602402,1,less tha 25
6038.02,8.083333,6037603802,06037603802,1,less tha 25
6704.06,8.1000004,6037670406,06037670406,1,less tha 25
6703.28,8.1000004,6037670328,06037670328,1,less tha 25
6704.13,8.1000004,6037670413,06037670413,1,less tha 25
6703.26,8.1000004,6037670326,06037670326,1,less tha 25
