X,Y,OBJECTID,GlobalID,FacilityName,IndoorOutdoor,Address,Bureau,CouncilDistrict,AltFacPhone
-118.602643087137,34.2037247381765,64,19c09964-74b3-47b8-b213-6b2415619201,Canoga Park Senior Citizen Center,Indoor,"7326 Jordan Ave, Canoga Park, CA, 91303, USA",Valley,03, 
-118.448115016216,34.1631756817657,65,078b0c25-92be-47d8-ab89-0cd8194693a1,Sherman Oaks East Valley Adult Center, ,"5056 Van Nuys Blvd. Sherman Oaks, CA 91403",Valley,04, 
-118.612515198647,34.1763591579254,66,8679f582-4287-4746-b802-afaebdfabdfd,Woodland Hills Recreation Center, ,"5858 Shoup Ave., Woodland Hills, CA 91367",Valley,03, 
-118.379436771353,34.1677276558061,67,884db8bd-e2cb-4a80-9eaa-d13e896183bb,North Hollywood Senior Center, ,"11430 Chandler Blvd., North Hollywood, CA 91601",Valley,02, 
-118.321487719574,34.2612190105157,68,4136e594-5cb1-48be-9e51-28edbac3b9ad,Sunland Senior Center, ,"8651 Foothill Blvd., Sunland, CA 91040",Valley,07, 
-118.54872502216,34.2333138699224,69,9ed1e93c-417f-4ec4-a7cd-68d967831efb,Robert M. Wilkinson Multipurpose Center, ,"8956 Vanalden Ave. Northridge, CA 91324",Valley,12, 
-118.457836904734,34.229903925944,70,dc0d888d-a18c-4402-9a8f-71bd61514682,Mid Valley Senior Center,Indoor,"8825 Kester Ave, Panorama City, CA 91402",Valley,06, 
-118.214613411592,34.0722695507943,71,d929391d-e7b3-4dae-959d-f75748cbbbfe,Lincoln Heights SCC, ,"2303 Workman Street Los Angeles, 90031",Central,01, 
-118.184861358888,34.1142259310887,72,c5ea31b9-83ac-4725-ac6a-90f98bf293cc,Highland Park Senior Citizen Center, ,6152 N. Figueroa St  los angeles 90042,Central,14, 
-118.247607412934,33.9946325618996,73,5962cfbf-4296-45a0-9a37-e88e3154b3d8,Slauson Multipurpose Center, ,"5306 South Compton Ave,  90011",Central,09, 
-118.371435330257,34.2751153736112,75,439992ab-0d34-4a5d-8f30-e6bedf0620d7,Lake View Terrace Rec Center, ,"11075 Foothill Blvd, Lake View Terrace, CA 91342",Valley,07, 
-118.222020852404,34.0471034645506,76,5f7dc1f4-4b60-44c6-8bc2-accdd61a9740,Pecan Rec Center, ,"145 S Pecan St, Los Angeles, CA 90033",Central,14, 
-118.4388083615,34.2659222877154,77,832f2ede-a1d8-4b78-983c-c0f2ad4a416e,Ritchie Valens Rec Center, ,"10736 Laurel Canyon Boulevard, Pacoima CA, 91331",Valley,07, 
-118.301377239798,33.8229329311799,78,82ead3f5-7878-4020-b6b3-9812308a8d26,Normandale Recreation Center, ,22400 South Halldale Avenue, , , 
-118.282315899493,33.9759990951217,79,e3cb490f-090f-42ab-88f7-ca18599dc530,South Los Angeles Sports Activity Center, ,"7020 S Figueroa St, Los Angeles, CA 90003",South,08, 
-118.641364601739,34.1862986841139,80,86696487-27bc-4149-8433-e0412e3aa037,Platt Branch Library,Indoor,"23600 Victory Blvd, Woodland Hills, CA 91367",Valley,03, 
-118.487507644336,34.2351145734997,81,068b52bf-cc1b-4be2-8113-d646bebe1fd4,Mid-Valley Regional Library,Indoor,"16244 Nordhoff St, North Hills, CA 91343",Valley,12, 
-118.371213431643,34.2148956794046,82,1639ee22-6665-4c84-92f4-ca7c7cefca2c,Sun Valley Branch Library,Indoor,"7935 Vineland Ave, Sun Valley, CA 91352",Valley,06, 
-118.393696629626,34.2727085792035,83,c5e4e4d6-3205-41ea-ab71-d61908a9f810,Lake View Terrace Branch Library,Indoor,"12002 Osborne St, Lake View Terrace, CA 91342",Valley,07, 
-118.213659552025,34.1374839145709,84,0a717a94-290a-4859-a54f-d4256d0c6395,Eagle Rock Branch Library,Indoor,"5027 Caspar Ave, Los Angeles, CA 90041",Central,14, 
-118.256194441698,34.0026535427933,85,2b8f097e-5dcf-47ab-b974-29efa3069757,Vernon Branch Library,Indoor,"4504 S Central Ave, Los Angeles, CA 90011",South,09, 
-118.467318054197,34.0731426396187,86,b06e4ed7-e573-4c93-afc1-24baa4ada90d,,,,,,
-118.444939753935,34.1941240322789,101,f3dbdaca-5e99-433a-9194-8e47992bd96a,Van Nuys Recreation Center,,"14301 Vanowen St, Van Nuys, CA 91405",Valley,06,
-118.413299768064,33.9583025827068,120,15289dc9-8c7f-44ec-8aa4-80f2b3e81e63,Westchester Senior Center,Indoor,"8740 Lincoln Blvd, Los Angeles, CA, 90045",West,11,
-118.353070825211,34.012302359915,121,f5a04721-36cc-4fe0-860d-b22797328a21,Jim Gilliam Recreation Center,,"4000 S La Brea Ave, Los Angeles, CA 90008",West,10,
-118.199145455078,34.0659450435579,122,71c1b3c7-63fb-453e-a93d-f4d9c5ec73b3,Lincoln Park Recreation Center,Indoor,"3501 Valley Blvd., Los Angeles, CA 90031",Central,14,
-118.447031228636,34.0548193930996,123,f8aa0b26-614a-4798-bce8-fcf24b2e8972,Westwood Recreation Center,Indoor,1350 S. Sepulveda Blvd,West,05,
-118.283394451934,34.0623174295647,124,c08803ad-1f10-4a27-9d5a-589f9b63140f,Lafayette Recreation Center,Indoor,"625 S La Fayette Park Pl, Los Angeles, CA 90057",Central,10,
