geoid,name,population,value,percentile,t_percentile,fips
06013370000,3700,2850,9.708333,.11856794,11.856794,06013370000
06001442301,4423.0098,5496,17.883333,.20973951,20.973951,06001442301
06037405101,4051.01,5617,142.85001,.89933276,89.933273,06037405101
06037199800,1998,5828,80.474998,.50275886,50.275887,06037199800
06037291300,2913,3037,14.908334,.18170153,18.170153,06037291300
06037292000,2920,6567,14.908334,.18170153,18.170153,06037292000
06037604002,6040.02,4856,13.241667,.16809958,16.809958,06037604002
06037920035,9200.3496,6895,111.08334,.62998843,62.998844,06037920035
06029002804,28.040001,2510,145.09166,.9286539,92.865387,06029002804
06107001800,18,4608,135.61667,.83344024,83.344025,06107001800
06037402101,4021.01,5558,109.91666,.62466317,62.466316,06037402101
06037542602,5426.02,5934,24.275,.25073785,25.073784,06037542602
06075020900,209,4597,4.3166666,.033363275,3.3363276,06075020900
06075021000,210,4523,4.3166666,.033363275,3.3363276,06075021000
06013302005,3020.05,7290,104.68333,.60156548,60.156548,06013302005
06045011300,113,5673,104.15833,.5995124,59.951241,06045011300
06045010900,109,4989,103.28333,.59091491,59.091492,06045010900
06045010100,101,2674,101.18333,.58064932,58.06493,06045010100
06067007104,71.040001,8397,123.54166,.73405617,73.405617,06067007104
06085512042,5120.4199,3020,54.591667,.41473117,41.473118,06085512042
06085503306,5033.0601,4373,41.366665,.340947,34.0947,06085503306
06111001503,15.03,5106,22.466667,.24214038,24.214039,06111001503
06099003605,36.049999,8068,122.475,.72122419,72.122421,06099003605
06071003603,36.029999,3938,138.54167,.85904014,85.904015,06071003603
06037503103,5031.0298,5204,80.23333,.49910176,49.910175,06037503103
06113010606,106.06,7745,125.99167,.75959194,75.95919,06113010606
06053013600,136,4679,5.7416668,.046708584,4.6708584,06053013600
06065044402,444.01999,5266,172.84166,.98075193,98.075195,06065044402
06071001901,19.01,4664,128.88333,.79289109,79.289108,06071001901
06073008330,83.300003,5271,53.383335,.40472218,40.472218,06073008330
06031000300,3,6858,146.675,.94142181,94.142181,06031000300
06053012100,121,2113,5.1833334,.041190811,4.119081,06053012100
06037209510,2095.1001,3076,36.275002,.31342229,31.34223,06037209510
06095250501,2505.01,2189,59.708332,.44488645,44.488644,06095250501
06059074108,741.08002,4939,43.116665,.35666624,35.666622,06059074108
06065042714,427.14001,3519,150.49167,.95893753,95.893753,06065042714
06037267501,2675.01,5993,4.6083331,.036058001,3.6058002,06037267501
06037294520,2945.2,3710,15.8,.18901578,18.901577,06037294520
06059076202,762.02002,6159,84.383331,.51924807,51.924809,06059076202
06079010701,107.01,5437,4.7416668,.038881049,3.8881049,06079010701
06073007908,79.080002,3726,10.475,.13018093,13.018092,06073007908
06067008512,85.120003,4552,122.6,.72237903,72.2379,06067008512
06007003300,33,4083,138.675,.86077249,86.077248,06007003300
06037310602,3106.02,2853,98.550003,.5727576,57.275761,06037310602
06037269904,2699.04,3927,10.691667,.1347363,13.47363,06037269904
06037571503,5715.0298,3878,38.116665,.3253561,32.53561,06037571503
06073014901,149.00999,4086,49.5,.39458489,39.458488,06073014901
06073011601,116.01,5470,6.4250002,.056525089,5.6525087,06073011601
06037183820,1838.2,3445,80.474998,.50275886,50.275887,06037183820
06037197300,1973,4052,80.533333,.5048762,50.487621,06037197300
06111007202,72.019997,4446,45.383335,.37418196,37.418194,06111007202
06067000400,4,3933,119.66666,.69177467,69.177467,06067000400
06073005900,59,3344,6.5666666,.060887977,6.0887976,06073005900
06037204920,2049.2,2751,61.916668,.45034006,45.034008,06037204920
06073007905,79.050003,2659,12.433333,.1521237,15.212371,06073007905
06037404202,4042.02,4252,139.54167,.87033236,87.033234,06037404202
06037462002,4620.02,4043,111.475,.63293982,63.293983,06037462002
06037186203,1862.03,3416,80.474998,.50275886,50.275887,06037186203
06037123902,1239.02,2668,78.75,.49589375,49.589375,06037123902
06019000600,6,4750,143.14166,.90523547,90.523544,06019000600
06037302104,3021.04,4288,92.116669,.55100733,55.100735,06037302104
06019002905,29.049999,3046,142.90834,.90254074,90.254074,06019002905
06029000906,9.0600004,4518,144.52499,.92255872,92.255875,06029000906
06085503108,5031.0801,8222,48.991665,.39099193,39.099194,06085503108
06085503323,5033.23,4763,44.849998,.37270626,37.270626,06085503323
06071003509,35.09,4343,145.5,.93314511,93.314514,06071003509
06037536104,5361.04,3900,90.341667,.54285896,54.285896,06037536104
06055200705,2007.05,3017,65.841667,.46336457,46.336456,06055200705
06037650602,6506.02,7315,12.9,.16052867,16.052868,06037650602
06029001500,15,2586,147.73334,.95034003,95.034004,06029001500
06029002815,28.15,4006,144.52499,.92255872,92.255875,06029002815
06001437400,4374,3485,13.541667,.17060181,17.060181,06001437400
06065031501,315.01001,7993,145.65834,.93410754,93.410751,06065031501
06065042508,425.07999,5486,130.875,.80379826,80.379829,06065042508
06071000207,2.0699999,4456,109.91666,.62466317,62.466316,06071000207
06037910601,9106.0098,6726,144.39999,.92076224,92.076225,06037910601
06037463000,4630,2665,124.94167,.74887717,74.887718,06037463000
06013310000,3100,6257,100.78333,.57968688,57.968689,06013310000
06059089105,891.04999,6889,49.799999,.39721546,39.721546,06059089105
06037462100,4621,5748,111.475,.63293982,63.293983,06037462100
06037534403,5344.0298,2795,44.299999,.36430129,36.43013,06037534403
06059099222,992.21997,5346,31.608334,.29026049,29.026049,06059099222
06059099239,992.39001,3824,14.233334,.17438728,17.438728,06059099239
06059011403,114.03,6654,87.433334,.52855128,52.855129,06059011403
06073003114,31.139999,3462,30.508333,.28602591,28.602591,06073003114
06071003506,35.060001,5535,147.29167,.94726038,94.726036,06071003506
06037115202,1152.02,5684,123.44167,.73097652,73.097649,06037115202
06037575202,5752.02,4175,40.891666,.3348518,33.48518,06037575202
06069000600,6,9187,48.066666,.38611576,38.611576,06069000600
06071003404,34.040001,5165,138.54167,.85904014,85.904015,06071003404
06029003000,30,7552,144.52499,.92255872,92.255875,06029003000
06013338101,3381.01,5352,82.974998,.51289618,51.289619,06013338101
06095252314,2523.1399,4221,97.400002,.56807393,56.807392,06095252314
06037407602,4076.02,3993,126.56667,.76555884,76.555885,06037407602
06067007432,74.32,5118,124.05,.73809826,73.80983,06067007432
06067007433,74.330002,8155,124.05,.73809826,73.80983,06067007433
06059042328,423.28,2526,11.133333,.14506608,14.506608,06059042328
06059011716,117.16,5223,91.816666,.54933918,54.933918,06059011716
06059011718,117.18,3458,88.625,.53304249,53.304249,06059011718
06081605100,6051,3181,7.0916667,.066020787,6.6020784,06081605100
06037197200,1972,3909,80.474998,.50275886,50.275887,06037197200
06037229100,2291,5146,44.316666,.36776593,36.776592,06037229100
06095252909,2529.0901,3471,127.09167,.77114075,77.114075,06095252909
06111003010,30.1,3226,10.966666,.13993327,13.993327,06111003010
06081608004,6080.04,8738,20.541666,.23399204,23.399204,06081608004
06065046800,468,6788,130.89166,.8046965,80.46965,06065046800
06071000901,9.0100002,5051,116.39167,.66322339,66.322342,06071000901
06059063102,631.02002,6971,9.7166662,.11978699,11.978699,06059063102
06073003901,39.009998,4379,13.15,.16572565,16.572565,06073003901
06071010019,100.19,4911,117.61667,.67432308,67.432312,06071010019
06037191902,1919.02,2788,29.533333,.27704349,27.70435,06037191902
06037122120,1221.2,5011,103.88333,.59887075,59.887077,06037122120
06001437701,4377.0098,3773,13.541667,.17060181,17.060181,06001437701
06037574000,5740,5165,48.516666,.38881049,38.88105,06037574000
06053013100,131,2200,5.8666668,.047414348,4.7414346,06053013100
06037432601,4326.0098,7210,134.45,.82426536,82.426537,06037432601
06111003608,36.080002,4024,12.483334,.15263698,15.263698,06111003608
06059099231,992.31,5431,31.616667,.2913512,29.13512,06059099231
06001402400,4024,2866,8.3916664,.082445785,8.2445784,06001402400
06001402500,4025,1781,7.6500001,.072693445,7.2693443,06001402500
06071000604,6.04,5436,127.05833,.7705633,77.056328,06071000604
06059099802,998.02002,5472,53.608334,.40818682,40.818684,06059099802
06099000803,8.0299997,5060,119.31667,.68805337,68.805336,06099000803
06059110014,1100.14,5274,48.033333,.38566664,38.566666,06059110014
06059110303,1103.03,4661,55.891666,.42089054,42.089054,06059110303
06071008404,84.040001,3010,138,.85281664,85.281662,06071008404
06037296600,2966,5358,15.625,.18567945,18.567945,06037296600
06037143100,1431,4389,78.558334,.49262157,49.262157,06037143100
06059062627,626.27002,3549,10.633333,.13165662,13.165662,06059062627
06001450743,4507.4302,6684,85.166664,.52162194,52.162193,06001450743
06037702801,7028.0098,4679,10.691667,.1347363,13.47363,06037702801
06037216200,2162,5778,16.075001,.19337867,19.337868,06037216200
06031001402,14.02,2168,146.175,.93911201,93.911201,06031001402
06039000502,5.02,12934,143.27499,.90683949,90.683952,06039000502
06037269905,2699.05,2459,10.691667,.1347363,13.47363,06037269905
06037502402,5024.02,3874,102.5,.58732194,58.732193,06037502402
06037406200,4062,5811,139.09166,.8638522,86.385223,06037406200
06065031002,310.01999,5202,144.075,.91543692,91.543694,06065031002
06037575300,5753,4360,41.674999,.34402668,34.402668,06037575300
06111007611,76.110001,3923,64.824997,.46111897,46.111897,06111007611
06037432802,4328.02,5077,134.45,.82426536,82.426537,06037432802
06085503401,5034.0098,4468,41.366665,.340947,34.0947,06085503401
06029004901,49.009998,5863,146.23334,.93956113,93.956116,06029004901
06019000300,3,4225,142.50833,.89464903,89.464905,06019000300
06085512020,5120.2002,7825,48.125,.38707814,38.707813,06085512020
06075030302,303.01999,4348,2.1083333,.010843064,1.0843064,06075030302
06073005200,52,7087,6.5666666,.060887977,6.0887976,06073005200
06037900803,9008.0303,8751,138.25833,.85576802,85.576805,06037900803
06037400302,4003.02,3154,115.64167,.652637,65.263702,06037400302
06037533401,5334.0098,5098,90.366669,.54382139,54.382141,06037533401
06097154303,1543.03,1528,17.816668,.20890543,20.890543,06097154303
06037232500,2325,4940,19.833334,.22687027,22.687027,06037232500
06037577200,5772,5848,41.25,.33889389,33.889389,06037577200
06059110605,1106.05,6740,77.558334,.48588476,48.588474,06059110605
06059011721,117.21,5364,85.416664,.52239192,52.239193,06059011721
06073007301,73.010002,5413,10.241667,.12716541,12.71654,06073007301
06085503110,5031.1001,4917,41.366665,.340947,34.0947,06085503110
06067006900,69,4858,121.975,.7134608,71.346077,06067006900
06059042108,421.07999,4997,6.3249998,.050429873,5.0429873,06059042108
06071003101,31.01,5287,136.675,.84255099,84.255096,06071003101
06071003611,36.110001,4874,145.125,.93012959,93.012962,06071003611
06071006203,62.029999,4995,142.88333,.90196329,90.196327,06071006203
06055200601,2006.01,5633,74.241669,.47914794,47.914795,06055200601
06085512029,5120.29,6698,60.033333,.44604132,44.60413,06085512029
06059074802,748.02002,6772,43.116665,.35666624,35.666622,06059074802
06031000701,7.0100002,5656,139.75833,.87244964,87.244965,06031000701
06053014201,142.00999,5414,7.2333331,.068394713,6.8394713,06053014201
06037554203,5542.0298,3730,67.183334,.46862569,46.862568,06037554203
06037554405,5544.0498,3015,67.541664,.46990889,46.990891,06037554405
06075013200,132,4292,4.2583332,.032080073,3.2080073,06075013200
06095252704,2527.04,5410,99.533333,.57551646,57.551647,06095252704
06055201102,2011.02,1904,88.400002,.53220838,53.220837,06055201102
06037195710,1957.1,4487,58.758335,.43564737,43.564735,06037195710
06081607400,6074,4870,20.316668,.23290132,23.290133,06081607400
06019005304,53.040001,5365,143.69167,.91062492,91.062492,06019005304
06071001101,11.01,4173,116.39167,.66322339,66.322342,06071001101
06071006204,62.040001,4277,142.88333,.90196329,90.196327,06071006204
06001403100,4031,2101,7.6500001,.072693445,7.2693443,06001403100
06037320300,3203,6734,111.41666,.63120747,63.120747,06037320300
06111004506,45.060001,7788,10.041667,.12536892,12.536892,06111004506
06025012001,120.01,3884,199.30833,.98274094,98.274094,06025012001
06111003609,36.09,5863,18.15,.21198511,21.198511,06111003609
06085503118,5031.1802,5286,41.366665,.340947,34.0947,06085503118
06037127920,1279.2,4716,110.33334,.62690878,62.69088,06037127920
