geoid,population,heat_days,heat_perc,FIPS,FIPS_2,nation,state,county,countysubdivision,censustract,place,congressionaldistrict116th,statelegislativedistrictuppercha,statelegislativedistrictlowercha,metropolitanstatisticalareamicro,combinedstatisticalarea,tot_housing,housing_occupied,housing_vacant,tot_pop,tot_white,tot_bla,tot_native,tot_asian,tot_haw,tot_other,tot_twomore,_merge2
06037101110,4283,67.175003,46.791992,06037101110,6037101110,0,6,37,,101110,,,,,,,1806,1753,53,4926,3065,74,53,440,10,743,541,Matched (3)
06037101122,3405,67.175003,46.791992,06037101122,6037101122,0,6,37,,101122,,,,,,,1377,1358,19,3728,2723,31,28,404,0,211,331,Matched (3)
06037101220,3702,76.85833,48.415245,06037101220,6037101220,0,6,37,,101220,,,,,,,1351,1308,43,3344,1901,42,40,358,1,625,377,Matched (3)
06037101300,3884,76.85833,48.415245,06037101300,6037101300,0,6,37,,101300,,,,,,,1612,1568,44,4269,3347,28,9,353,2,155,375,Matched (3)
06037101400,3458,97.033333,56.525085,06037101400,6037101400,0,6,37,,101400,,,,,,,1551,1482,69,3898,2712,44,32,324,3,334,449,Matched (3)
06037102103,1763,96.008331,56.281281,06037102103,6037102103,0,6,37,,102103,,,,,,,800,781,19,2107,1485,48,4,148,7,200,215,Matched (3)
06037102104,3721,96.008331,56.281281,06037102104,6037102104,0,6,37,,102104,,,,,,,1353,1333,20,3906,2857,84,15,401,1,171,377,Matched (3)
06037102105,1905,96.008331,56.281281,06037102105,6037102105,0,6,37,,102105,,,,,,,573,563,10,1855,718,27,42,178,0,501,389,Matched (3)
06037102107,4349,97.625,56.884384,06037102107,6037102107,0,6,37,,102107,,,,,,,1348,1305,43,3984,2547,91,26,242,3,650,425,Matched (3)
06037103101,2428,82.416664,51.065056,06037103101,6037103101,0,6,37,,103101,,,,,,,986,966,20,2712,1980,26,23,193,6,178,306,Matched (3)
06037103102,4734,82.416664,51.065056,06037103102,6037103102,0,6,37,,103102,,,,,,,1734,1683,51,4752,3220,25,32,439,5,525,506,Matched (3)
06037103300,3781,107.375,61.388428,06037103300,6037103300,0,6,37,,103300,,,,,,,1424,1357,67,3953,2791,55,18,236,3,378,472,Matched (3)
06037104103,3431,103.38333,59.579109,06037104103,6037104103,0,6,37,,104103,,,,,,,857,841,16,3811,683,395,47,258,15,1568,845,Matched (3)
06037104105,6054,103.38333,59.579109,06037104105,6037104105,0,6,37,,104105,,,,,,,1732,1714,18,5999,1046,301,96,421,3,3060,1072,Matched (3)
06037104108,6001,103.38333,59.579109,06037104108,6037104108,0,6,37,,104108,,,,,,,1665,1629,36,5829,924,486,135,214,1,2961,1108,Matched (3)
06037104124,3875,103.575,59.758759,06037104124,6037104124,0,6,37,,104124,,,,,,,1337,1296,41,4333,1662,402,66,263,15,1191,734,Matched (3)
06037104201,4569,103.38333,59.579109,06037104201,6037104201,0,6,37,,104201,,,,,,,894,882,12,4377,517,324,99,64,1,2547,825,Matched (3)
06037104203,5441,103.38333,59.579109,06037104203,6037104203,0,6,37,,104203,,,,,,,1162,1141,21,4874,681,219,128,110,1,2961,774,Matched (3)
06037104204,3679,103.38333,59.579109,06037104204,6037104204,0,6,37,,104204,,,,,,,717,710,7,3304,614,199,46,230,2,1598,615,Matched (3)
06037104310,4962,111.41666,63.120747,06037104310,6037104310,0,6,37,,104310,,,,,,,885,857,28,4396,618,116,138,30,2,2535,957,Matched (3)
06037104401,3270,111.41666,63.120747,06037104401,6037104401,0,6,37,,104401,,,,,,,663,644,19,3022,428,23,92,16,2,1851,610,Matched (3)
06037104403,3341,111.41666,63.120747,06037104403,6037104403,0,6,37,,104403,,,,,,,665,643,22,2947,416,17,89,80,0,1887,458,Matched (3)
06037104404,3084,103.38333,59.579109,06037104404,6037104404,0,6,37,,104404,,,,,,,692,676,16,3082,544,29,87,30,0,1848,544,Matched (3)
06037104500,3025,108.71667,61.978699,06037104500,6037104500,0,6,37,,104500,,,,,,,674,653,21,3151,604,22,76,49,4,1830,566,Matched (3)
06037104610,3386,103.38333,59.579109,06037104610,6037104610,0,6,37,,104610,,,,,,,754,725,29,3645,680,57,78,37,4,2141,648,Matched (3)
06037104620,3528,103.38333,59.579109,06037104620,6037104620,0,6,37,,104620,,,,,,,707,694,13,3200,579,18,64,29,0,1848,662,Matched (3)
06037104701,4402,103.38333,59.579109,06037104701,6037104701,0,6,37,,104701,,,,,,,1096,1078,18,4601,934,141,81,44,0,2581,820,Matched (3)
06037104703,2174,108.71667,61.978699,06037104703,6037104703,0,6,37,,104703,,,,,,,655,618,37,2572,466,104,37,109,0,1361,495,Matched (3)
06037104704,4321,103.38333,59.579109,06037104704,6037104704,0,6,37,,104704,,,,,,,1325,1288,37,4760,972,424,93,242,3,2212,814,Matched (3)
06037104821,3551,108.71667,61.978699,06037104821,6037104821,0,6,37,,104821,,,,,,,875,859,16,3498,558,58,54,134,5,2154,535,Matched (3)
06037104822,2839,108.71667,61.978699,06037104822,6037104822,0,6,37,,104822,,,,,,,619,612,7,2345,281,25,89,160,5,1387,398,Matched (3)
06037106010,3093,83.199997,51.366608,06037106010,6037106010,0,6,37,,106010,,,,,,,1012,980,32,3390,925,130,69,201,4,1314,747,Matched (3)
06037106020,5420,103.85,59.848583,06037106020,6037106020,0,6,37,,106020,,,,,,,1438,1404,34,5557,1460,94,137,214,2,2469,1181,Matched (3)
06037106111,4191,103.425,59.694599,06037106111,6037106111,0,6,37,,106111,,,,,,,1357,1312,45,4331,1408,156,103,348,0,1496,820,Matched (3)
06037106112,5611,103.425,59.694599,06037106112,6037106112,0,6,37,,106112,,,,,,,1619,1579,40,6201,1502,166,190,550,3,2530,1260,Matched (3)
06037106113,3697,103.425,59.694599,06037106113,6037106113,0,6,37,,106113,,,,,,,993,983,10,3939,1010,106,73,285,0,1618,847,Matched (3)
06037106114,6324,103.38333,59.579109,06037106114,6037106114,0,6,37,,106114,,,,,,,1890,1823,67,6643,1158,255,206,448,14,3348,1214,Matched (3)
06037106403,3667,111.41666,63.120747,06037106403,6037106403,0,6,37,,106403,,,,,,,863,834,29,3704,660,22,121,93,1,2025,782,Matched (3)
06037106405,4758,108.375,61.747723,06037106405,6037106405,0,6,37,,106405,,,,,,,1177,1158,19,3968,848,178,84,168,4,1921,765,Matched (3)
06037106406,5839,79.758331,49.813934,06037106406,6037106406,0,6,37,,106406,,,,,,,1774,1740,34,6173,1624,190,116,409,3,2628,1203,Matched (3)
06037106407,3119,111.45834,63.197742,06037106407,6037106407,0,6,37,,106407,,,,,,,896,874,22,2909,601,217,62,94,1,1547,387,Matched (3)
06037106408,3667,108.51667,61.863209,06037106408,6037106408,0,6,37,,106408,,,,,,,1001,985,16,3440,548,83,105,112,0,2025,567,Matched (3)
06037106510,5618,108.93333,62.158348,06037106510,6037106510,0,6,37,,106510,,,,,,,1756,1728,28,5791,1516,308,123,459,3,2239,1143,Matched (3)
06037106520,5920,108.375,61.747723,06037106520,6037106520,0,6,37,,106520,,,,,,,1453,1422,31,5670,1331,76,133,95,1,2881,1153,Matched (3)
06037106603,3156,105.53333,60.554344,06037106603,6037106603,0,6,37,,106603,,,,,,,995,977,18,2998,1788,91,17,572,4,179,347,Matched (3)
06037106604,5068,108.375,61.747723,06037106604,6037106604,0,6,37,,106604,,,,,,,1314,1272,42,5378,1112,209,150,226,9,2665,1007,Matched (3)
06037106641,2372,105.29166,60.39394,06037106641,6037106641,0,6,37,,106641,,,,,,,791,768,23,2330,1599,40,12,382,1,88,208,Matched (3)
06037106642,2961,105.29166,60.39394,06037106642,6037106642,0,6,37,,106642,,,,,,,1081,1055,26,3316,1947,100,27,436,2,332,472,Matched (3)
06037106643,4577,105.29166,60.39394,06037106643,6037106643,0,6,37,,106643,,,,,,,1355,1316,39,4084,2639,148,23,701,0,190,383,Matched (3)
06037106645,3650,110.86667,62.864105,06037106645,6037106645,0,6,37,,106645,,,,,,,1209,1194,15,3501,2260,104,7,469,1,260,400,Matched (3)
06037106646,3161,110.86667,62.864105,06037106646,6037106646,0,6,37,,106646,,,,,,,985,962,23,3367,1543,105,15,701,4,500,499,Matched (3)
06037106648,4546,108.375,61.747723,06037106648,6037106648,0,6,37,,106648,,,,,,,1285,1264,21,4815,849,135,133,150,10,2623,915,Matched (3)
06037106649,2661,108.375,61.747723,06037106649,6037106649,0,6,37,,106649,,,,,,,717,695,22,2754,521,66,77,497,1,1056,536,Matched (3)
06037107010,3141,108.375,61.747723,06037107010,6037107010,0,6,37,,107010,,,,,,,744,726,18,3205,579,27,98,66,0,1836,599,Matched (3)
06037107020,5317,108.375,61.747723,06037107020,6037107020,0,6,37,,107020,,,,,,,1335,1309,26,5488,1075,82,103,370,0,2700,1158,Matched (3)
06037108101,2327,105.29166,60.39394,06037108101,6037108101,0,6,37,,108101,,,,,,,799,792,7,2324,1332,78,5,578,3,108,220,Matched (3)
06037108102,3552,107.28333,61.34993,06037108102,6037108102,0,6,37,,108102,,,,,,,1366,1350,16,3795,1972,83,5,1236,0,160,339,Matched (3)
06037108103,3099,105.29166,60.39394,06037108103,6037108103,0,6,37,,108103,,,,,,,1071,1048,23,3190,1888,48,4,817,0,137,296,Matched (3)
06037108104,1836,105.29166,60.39394,06037108104,6037108104,0,6,37,,108104,,,,,,,586,576,10,1692,975,48,1,416,0,72,180,Matched (3)
06037108202,7487,103.725,59.822918,06037108202,6037108202,0,6,37,,108202,,,,,,,3268,3152,116,8701,3019,400,31,4009,4,333,905,Matched (3)
06037109100,2797,108.375,61.747723,06037109100,6037109100,0,6,37,,109100,,,,,,,896,864,32,2958,1084,83,59,289,3,903,537,Matched (3)
06037109200,2846,108.375,61.747723,06037109200,6037109200,0,6,37,,109200,,,,,,,1049,992,57,3153,1155,154,43,627,8,695,471,Matched (3)
06037109300,2962,108.375,61.747723,06037109300,6037109300,0,6,37,,109300,,,,,,,908,887,21,3120,1117,122,45,486,11,734,605,Matched (3)
06037109400,3903,108.375,61.747723,06037109400,6037109400,0,6,37,,109400,,,,,,,1097,1075,22,3752,922,88,145,315,12,1518,752,Matched (3)
06037109500,4832,111.41666,63.120747,06037109500,6037109500,0,6,37,,109500,,,,,,,1093,1082,11,4524,686,68,220,135,5,2451,959,Matched (3)
06037109601,4945,112.9,64.006165,06037109601,6037109601,0,6,37,,109601,,,,,,,1302,1284,18,4958,1154,152,92,489,7,2111,953,Matched (3)
06037109603,4297,112.9,64.006165,06037109603,6037109603,0,6,37,,109603,,,,,,,1313,1293,20,4203,1080,146,120,518,6,1507,826,Matched (3)
06037109604,3195,108.375,61.747723,06037109604,6037109604,0,6,37,,109604,,,,,,,919,905,14,2938,843,94,62,276,1,1089,573,Matched (3)
06037109700,4616,108.375,61.747723,06037109700,6037109700,0,6,37,,109700,,,,,,,1398,1368,30,4389,1752,114,28,752,10,1046,687,Matched (3)
06037109800,5534,108.375,61.747723,06037109800,6037109800,0,6,37,,109800,,,,,,,1462,1435,27,4679,1690,121,84,780,0,1211,793,Matched (3)
06037111100,3179,110.86667,62.864105,06037111100,6037111100,0,6,37,,111100,,,,,,,950,916,34,3047,1272,73,46,491,20,702,443,Matched (3)
06037111201,3628,110.86667,62.864105,06037111201,6037111201,0,6,37,,111201,,,,,,,1149,1118,31,3609,1873,92,45,538,3,528,530,Matched (3)
06037111202,5169,105.29166,60.39394,06037111202,6037111202,0,6,37,,111202,,,,,,,1874,1815,59,5489,2762,168,69,811,10,859,810,Matched (3)
06037111204,6114,105.29166,60.39394,06037111204,6037111204,0,6,37,,111204,,,,,,,1949,1912,37,5865,3146,203,23,1378,6,407,702,Matched (3)
06037111205,3869,105.29166,60.39394,06037111205,6037111205,0,6,37,,111205,,,,,,,1452,1414,38,3864,1514,197,5,1347,14,384,403,Matched (3)
06037111206,4379,105.29166,60.39394,06037111206,6037111206,0,6,37,,111206,,,,,,,1524,1484,40,4716,2418,121,32,889,7,540,709,Matched (3)
06037111302,5163,105.29166,60.39394,06037111302,6037111302,0,6,37,,111302,,,,,,,1694,1635,59,4633,2033,246,38,964,13,695,644,Matched (3)
06037113101,3719,103.725,59.822918,06037113101,6037113101,0,6,37,,113101,,,,,,,1161,1128,33,3461,1850,131,42,594,2,335,507,Matched (3)
06037113102,3021,107.28333,61.34993,06037113102,6037113102,0,6,37,,113102,,,,,,,1029,1000,29,2971,1826,89,7,521,5,207,316,Matched (3)
06037113211,4109,127.64167,78.224045,06037113211,6037113211,0,6,37,,113211,,,,,,,1709,1655,54,4275,2539,186,15,632,10,398,495,Matched (3)
06037113212,3494,103.725,59.822918,06037113212,6037113212,0,6,37,,113212,,,,,,,1087,1059,28,3211,1522,185,24,640,2,446,392,Matched (3)
06037113213,5248,127.61667,78.191963,06037113213,6037113213,0,6,37,,113213,,,,,,,1689,1643,46,4589,2028,291,49,972,1,679,569,Matched (3)
06037113231,2303,127.28333,77.646606,06037113231,6037113231,0,6,37,,113231,,,,,,,842,800,42,2254,1445,92,11,293,6,90,317,Matched (3)
06037113232,4315,127.28333,77.646606,06037113232,6037113232,0,6,37,,113232,,,,,,,1496,1473,23,4297,2378,218,36,697,11,357,600,Matched (3)
06037113234,4823,127.26667,77.499039,06037113234,6037113234,0,6,37,,113234,,,,,,,1628,1566,62,4542,1396,196,85,845,7,1553,460,Matched (3)
