geoid,Tract,population,value,percentile,FIPS,GEOID,stateusabbreviationusps,summarylevel,geographiccomponent,statefips,county,censustract,arealand,areawater,totalpopulation,totalhousingunits,occupiedhousingunits,occupiedhousingunitsowneroccupie,occupiedhousingunitsrenteroccupi,vacanthousingunits,vacanthousingunitsforrent,vacanthousingunitsforsaleonly,_merge
06037101110,1011.10,4283,67.175003,.46791992,6037101110,06037101110,ca,140,0,6,37,101110,1142402,0,4314,1743,1596,767,829,147,18,0,Matched (3)
06037101122,1011.22,3405,67.175003,.46791992,6037101122,06037101122,ca,140,0,6,37,101122,2644045,0,3239,1391,1256,1026,230,135,0,35,Matched (3)
06037101210,1012.10,6347,76.85833,.48415244,6037101210,06037101210,ca,140,0,6,37,101210,650690,0,6052,2402,2321,337,1984,81,29,0,Matched (3)
06037101220,1012.20,3702,76.85833,.48415244,6037101220,06037101220,ca,140,0,6,37,101220,698886,0,3497,1328,1294,471,823,34,0,0,Matched (3)
06037101300,1013,3884,76.85833,.48415244,6037101300,06037101300,ca,140,0,6,37,101300,2581214,0,4297,1584,1435,1268,167,149,23,26,Matched (3)
06037101400,1014,3458,97.033333,.56525087,6037101400,06037101400,ca,140,0,6,37,101400,6310056,0,3851,1614,1473,1049,424,141,0,0,Matched (3)
06037102103,1021.03,1763,96.008331,.56281281,6037102103,06037102103,ca,140,0,6,37,102103,1186484,0,1771,726,696,457,239,30,0,0,Matched (3)
06037102104,1021.04,3721,96.008331,.56281281,6037102104,06037102104,ca,140,0,6,37,102104,1658544,0,3554,1345,1270,895,375,75,0,0,Matched (3)
06037102105,1021.05,1905,96.008331,.56281281,6037102105,06037102105,ca,140,0,6,37,102105,492761,0,1857,589,563,270,293,26,0,0,Matched (3)
06037102107,1021.07,4349,97.625,.56884384,6037102107,06037102107,ca,140,0,6,37,102107,12908558,13753,4333,1352,1305,970,335,47,0,40,Matched (3)
06037103101,1031.01,2428,82.416664,.51065058,6037103101,06037103101,ca,140,0,6,37,103101,2029806,0,2597,976,916,781,135,60,0,0,Matched (3)
06037103102,1031.02,4734,82.416664,.51065058,6037103102,06037103102,ca,140,0,6,37,103102,1241029,0,4456,1700,1568,1233,335,132,28,0,Matched (3)
06037103200,1032,6349,82.216667,.51032978,6037103200,06037103200,ca,140,0,6,37,103200,7414597,0,6726,2349,2274,1442,832,75,41,0,Matched (3)
06037103300,1033,3781,107.375,.61388427,6037103300,06037103300,ca,140,0,6,37,103300,6141955,0,3549,1396,1225,1037,188,171,0,57,Matched (3)
06037103400,1034,6416,97.64167,.5691005,6037103400,06037103400,ca,140,0,6,37,103400,2500753,0,6662,2507,2432,1515,917,75,0,41,Matched (3)
06037104103,1041.03,3431,103.38333,.5957911,6037104103,06037104103,ca,140,0,6,37,104103,949109,0,3647,877,845,705,140,32,0,0,Matched (3)
06037104105,1041.05,6054,103.38333,.5957911,6037104105,06037104105,ca,140,0,6,37,104105,584698,0,6190,1689,1673,940,733,16,16,0,Matched (3)
06037104108,1041.08,6001,103.38333,.5957911,6037104108,06037104108,ca,140,0,6,37,104108,1096629,0,5420,1452,1421,613,808,31,13,0,Matched (3)
06037104124,1041.24,3875,103.575,.59758759,6037104124,06037104124,ca,140,0,6,37,104124,4479384,980,4189,1335,1260,1045,215,75,0,0,Matched (3)
06037104201,1042.01,4569,103.38333,.5957911,6037104201,06037104201,ca,140,0,6,37,104201,1090103,0,4424,919,919,608,311,0,0,0,Matched (3)
06037104203,1042.03,5441,103.38333,.5957911,6037104203,06037104203,ca,140,0,6,37,104203,707973,0,5541,1161,1145,526,619,16,0,0,Matched (3)
06037104204,1042.04,3679,103.38333,.5957911,6037104204,06037104204,ca,140,0,6,37,104204,2664512,3735,3562,771,730,471,259,41,0,9,Matched (3)
06037104310,1043.10,4962,111.41666,.63120747,6037104310,06037104310,ca,140,0,6,37,104310,1508623,0,5313,897,879,632,247,18,0,18,Matched (3)
06037104320,1043.20,5292,103.38333,.5957911,6037104320,06037104320,ca,140,0,6,37,104320,1212169,0,5599,1346,1326,563,763,20,5,0,Matched (3)
06037104401,1044.01,3270,111.41666,.63120747,6037104401,06037104401,ca,140,0,6,37,104401,681117,0,3452,713,689,430,259,24,0,0,Matched (3)
06037104403,1044.03,3341,111.41666,.63120747,6037104403,06037104403,ca,140,0,6,37,104403,693083,0,3279,714,665,454,211,49,0,0,Matched (3)
06037104404,1044.04,3084,103.38333,.5957911,6037104404,06037104404,ca,140,0,6,37,104404,539620,0,3128,694,658,306,352,36,9,0,Matched (3)
06037104500,1045,3025,108.71667,.61978698,6037104500,06037104500,ca,140,0,6,37,104500,531002,0,2950,657,610,457,153,47,0,0,Matched (3)
06037104610,1046.10,3386,103.38333,.5957911,6037104610,06037104610,ca,140,0,6,37,104610,592138,0,3504,756,729,449,280,27,0,0,Matched (3)
06037104620,1046.20,3528,103.38333,.5957911,6037104620,06037104620,ca,140,0,6,37,104620,531171,0,3684,728,711,414,297,17,0,0,Matched (3)
06037104701,1047.01,4402,103.38333,.5957911,6037104701,06037104701,ca,140,0,6,37,104701,550504,0,4325,962,949,220,729,13,0,0,Matched (3)
06037104703,1047.03,2174,108.71667,.61978698,6037104703,06037104703,ca,140,0,6,37,104703,1168606,0,2311,653,603,218,385,50,23,0,Matched (3)
06037104704,1047.04,4321,103.38333,.5957911,6037104704,06037104704,ca,140,0,6,37,104704,1662660,0,4331,1221,1183,739,444,38,38,0,Matched (3)
06037104810,1048.10,5631,108.71667,.61978698,6037104810,06037104810,ca,140,0,6,37,104810,1123361,0,5789,1095,1076,779,297,19,0,0,Matched (3)
